αἱρέω ,αιρήσω , εἷλον (stem ἑλ-), ... ᾑρέθην	take, seize; (mid.) choose (verb)
αἰσθάνομαι, αἰσθήσομαι, ᾐσθόμην	perceive (verb)
ἀποκρίνομαι, ἀποκρινοῦμαι, ἀπεκρινάμην, ..., ἀπεκρίθην	answer (verb)
γράφομαι	prosecute (middle of γράφω) (verb)
ἐπιλανθάνομαι, ἐπιλήσομαι, ἐπελαθόμην (+ gen.)	forget (verb)
κρίνω, κρινῶ, ἔκρινα, ..., ἐκρίθην	judge, decide; (verb)
πείθομαι, πεισομαι, ἐπιθόμην (+ dat.)	obey (middle of πείθω) (verb)
πορεύω, πορεύσω, ἐπόρευσα, ..., ἐπορεύθην	convey, carry; (mid.) march, journey (verb)
φοβέω, φοβήσω, ἐφόβησα, ..., ἐφοβήθην	scare, put to flight; (m-p) fear, be afraid of, flee (in fear) (verb)
Ζεύς, Διός, ὁ	Zeus (noun)
ναῦς, νεώς, ἡ	ship (noun)
ὄρος, ὄρους, τό	mountain, hill (noun)
πόνος, πόνου, ὁ	work, labor; stress, trouble, pain (noun)
ἰσχυρός, ἰσχυρά, ἰσχυρός	strong (adj)
ὀλίγος, ὀλίγη, ὀλίγον	little, few, small (adj)
φίλιος, φίλια, φίλιον	friendly (adj)
ὅτι	that (conj)
ὡς	that (conj)
