ἀφικωέομαι, ἀφίξομαι, ἀφικόμην (often + prep.)	arrive (at), come to, reach (verb)
δέχομαι, δέξομαι, ἐδέξαμην, .., -εδέχθην	receive, accept, take (verb)
δὐναμαι, δυνήσομαι, ..., ἐδυνήθην	be able (to) (verb)
ὅστις, ἥτις, ὅ τι	whoever, whichever; who, which (pro)
ἀδύνατος, ἀδύνατον	powerless; impossible (adj)
δυνατός, δυνατή, δυνατόν	powerful, strong, able (adj)
ἐμὀς, ἐμή, ἐμόν; ἡμέτερος, ἡμέτερα, ἡμέτερον	my, our (adj)
σός, σή, σόν´ὑμέτερος; ὑμέτερα, ὑμέτερον	your (adj)
τοιοῦτος, τοιαύτη, τοιοῦτο	such, of such a sort, of this sort (adj)
τοσοῦτος, τοσαύτη, τοσοῦτο	so large, so great; so much, so many (adj)
οὕτω (οὕτως before a vowel)	so, in this way (adv)
πῶς	how? (adv)
παρά (+ gen.)	from (the side of) (prep)
παρα (+ dat.)	beside, by (the side of), with (someone), at someone's house (prep)
παρά (+ acc.)	to (the side of), alongside; contrary to (prep)
ὥστε	so that, so as to (conj)
