ἀγγέλλω, ἀγγελῶ, ἤγγειλα, ..., ἠγγέλθην	announce, report, tell (verb)
διαφέρω, διοίσω, διήνεγκα, ..., διήνεγκον	go throuh (with), endure; (intrans). differ from (+ gen.), make a difference to (+ dat.) (verb)
θαυμάζω, θαυμάσομαι, ἐθαύμασα, ..., ἐθαυμάσθην	admire, wonder at (verb)
πάρειμι, παρέσομαι	be present (verb)
πάσχω, πεισοῦμαι, ἔπαθον	suffer; experience (verb)
πίπτω, πεσοῦμαι, ἔπεσον	fall, fall down (verb)
γένος, γένους, τό	race, family; kind (noun)
ἥλιος, ἡλίου, ὁ	sun (noun)
καρδία, καρδίας, ἡ	heart (noun)
λιθος, λίθου, ὁ	stone, rock (noun)
τρόπος, τρόπου, ὁ	way, manner; turn; habit (noun)
δεινός, δεινή, δεινόν	clever (at), skillful; terrible; awesome (adj)
Λακεδαιμόνιος, Λακεδαιμονία, Λακεδαιμόνιον	Spartan (adj)
ῥᾴδιος, ῥᾴδια, ῥᾴδιον	easy (adj)
τρόπον (acc.)	in some way (adv)
ἔτι	still, yet (adv)
ὑπό (+ gen.)	(from) under; by (agent); because of (prep)
ὑπό (+ dat.)	under, beneath; at the foot of (prep)
ὑπό (+ acc.)	(down) under (prep)
