αὐτή	she, her	9	PRO
αὐτό	it	9	PRO
αὐτός	he, him	9	PRO
ἐγώ	I, me	9	PRO
ἡμεῖς	we, us	9	PRO
μηδείς	no one (in negative clauses)	9	PRO
μηδεμία	not any, none (in negative clauses)	9	PRO
μηδέν	nothing (in negative clauses)	9	PRO
οὐδείς	no one, nobody	9	PRO
οὐδεμία	not any, none	9	PRO
οὐδέν	nothing	9	PRO
σύ	you (singular)	9	PRO
ὑμεῖς	you (plural)	9	PRO
ἀνήρ, ἀνδρός, ὁ	man, husband	9	NOUN
γυνή, γυναικός, ἡ	woman, wife	9	NOUN
δίκη, δίκης, ἡ	justice; trial, lawsuit; penalty	9	NOUN
μήτηρ, μητρός, ἡ	mother	9	NOUN
νὺξ, νυκτός, ἡ	night	9	NOUN
παῖς, παιδός, τό/ὁ/ἡ	child, boy, girl 	9	NOUN
πατήρ, πατρός, ὁ	father	9	NOUN
πούς, ποδός, ὁ	foot	9	NOUN
πῦρ, πυρός, τό	fire	9	NOUN
στάδιον, σταδίου, τό	stade (3/5 of a mile)	9	NOUN
χείρ, χειρός, ἡ	hand	9	NOUN
χρόνος, χρόνου, ὁ	time	9	NOUN
μηδέ	and not, but not; nor; not even	9	CONJ
μήτε ... μήτε	neither ... nor	9	CONJ
οὔποτε/μήποτε	never	9	ADV
ἄλλος, ἄλλη, ἄλλο	other, another	9	ADJ
