ἀγορά, ἀγορᾶς, ἡ	marketplace	3	NOUN
ἄνθρωπος, ἀνθρώπου, ὁ	man, human	3	NOUN
δῶρον, δώρου, τό	gift	3	NOUN
ἔργον, ἔργου, τό	work	3	NOUN
θάλαττα, θαλάττης, ἡ	sea	3	NOUN
θεά, θεᾶς, ἡ	goddess	3	NOUN
θεός, θεοῦ, ὁ	god	3	NOUN
ἵππος, ἵππου, ὁ	horse	3	NOUN
κώμη, κώμης, ἡ	village	3	NOUN
ξένος, ξένου, ὁ	stranger, guest	3	NOUN
οἰκία, οἰκίας, ἡ	house	3	NOUN
τέκνον, τέκνου, τό	child	3	NOUN
τιμή, τιμῆς, ἡ	honor	3	NOUN
φίλος, φίλου, ὁ	friend	3	NOUN
ὦ	O!	3	INTER
ἀλλά	but, however, nevertheless	3	CONJ
δέ	and, but	3	CONJ
ἤ	or	3	CONJ
ἤ ... ἤ	either ... or	3	CONJ
καί	and	3	CONJ
καί ... καί	both ... and	3	CONJ
