form	translation	chapter
τίς	who?	6
τί	what?	6
αὐτός	he, him	9
αὐτή	she, her	9
αὐτό	it	9
ἐγώ	I, me	9
ἡμεῖς	we, us	9
σύ	you (singular)	9
ὑμεῖς	you (plural)	9
οὐδείς	no one, nobody	9
οὐδεμία	not any, none	9
οὐδέν	nothing	9
μηδείς	no one (in negative clauses)	9
μηδεμία	not any, none (in negative clauses)	9
μηδέν	nothing (in negative clauses)	9
