ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα	kill	11	VERB
βάλλω, βαλῶ, ἔβαλον	throw	11	VERB
βοηθέω, βοηθήσω, ἐβοήθησα	help	11	VERB
βουλέυω, βουλεύσω, ἐβούλευσα	plan	11	VERB
διαφθείρω, διαφθερῶ, διέφθειρα	destroy, corrupt	11	VERB
εἰσβάλλω, εἰσβαλῶ, εἰσέβαλον	throw into, invade	11	VERB
μένω, μενῶ, ἔμεινα	remain, stay; wait for	11	VERB
νικάω, νικήσω, ἐνίκησα	conquer	11	VERB
πεπιβάλλω, πεπιβαλῶ, πεπέβαλον	throw around, surround	11	VERB
συμβουλέω, συμβουλεύσω, συνεβούλευσα	advise	11	VERB
ἐπί	on, upon	11	PREP
ἐπί	on, at, near	11	PREP
ἐπί	toward, against; upon, on to, up to	11	PREP
ἔτος, ἔτους, τό	year	11	NOUN
Σωκράτης, Σωκράτους, ὁ	Socrates	11	NOUN
τεῖχος, τείχους, τό	wall	11	NOUN
χρῆμα, χρήματος, τό	thing, matter; (pl.) goods, money	11	NOUN
ἀληθής, ἀληθής, ἀληθές	TRUE	11	ADJ
ἄξιος, ἀξία, ἄξιον	worthy	11	ADJ
ἄξιος, ἀξία, ἄξιον	worthy	11	ADJ
ἀσφαλής, ἀσφαλής, ἀσφαλές	safe	11	ADJ
ἀσφαλής, ἀσφαλής, ἀσφαλές	safe	11	ADJ
εὐδαίμων, εὐδαίμων, εὐδαίμον	blessed, happy	11	ADJ
ψευδής, ψευδής, ψευδές	FALSE	11	ADJ
