'ἔχω, ἔξω/σχήσω, ἔσχον (impf. εἶχον)	have	7	VERB
ἄγω, ἄξω, ἤγαγον	lead, bring	7	VERB
εἰμί, ἔσθμαι (present enc. excep 2 sg imperf. ἦν)	be	7	VERB
λαμβάνω, λήψομαι, ἔλαβον	take, seize, receive	7	VERB
ὀνομάξω, ὀνομάσω, ὠνὀμασα	name, call by name, call X and X (2 acc)	7	VERB
φέρω, οἴσω, ὠωὀμασα	carry, bear, bring	7	VERB
σὖν	with	7	PREP
Ἕλλην, Ἕλληνος, ο	Greek	7	NOUN
ἡγεμών, ἡγεμόνος, ο	leader	7	NOUN
κῆρυξ, κήρυκος, ο	herald	7	NOUN
ὄνομα, ὀνόματος, τὸ	name	7	NOUN
πατρίς, πατρίδος, ἡ	fatherland	7	NOUN
πρᾶγμα, πράγματος, τὸ	thing, matter, act; (pl.) circumstances	7	NOUN
ὕδωρ, ὕδατος, τὸ	water	7	NOUN
φύλαξ, φύλακος, ο	guard	7	NOUN
σὖν	so, therefor, in fact	7	ADV
τότε	then, at that time	7	ADV
