ἄρχω, ἀρξομαι, ἦρξα	begin, command, rule	8	VERB
ἐθέλω, ἐθελήσομαι, ἠθέλησα	will, wish	8	VERB
κελεύω, κελεύσω, ἐκέλευσα	command, order	8	VERB
μέλλω, μελλήσω, ἐμέλλησα	intend, be about to	8	VERB
οἷός τέ εἰμι	am such as	8	VERB
ἀρχή, ἀρχῆς, ἡ	rule; empire; province; beginning	8	NOUN
ἄρχων, ἄρχοντος, ὁ	archon, ruler, leader	8	NOUN
Ἑλλάς, Ἑλλάδος, ἡ	Greece	8	NOUN
κάμηλος, καμήλου, ὁ	camel	8	NOUN
ποιητής, ποιητοῦ, ὁ	poet	8	NOUN
μή	not	8	ADV
πάλιν	back; again	8	ADV
τοτἐ	at some time, ever, in the world	8	ADV
δέκατος, δέκατη, δέκατον	tenth	8	ADJ
μέγας, μεγάλη, μέγα	great, large	8	ADJ
πᾶς, πᾶσα, πᾶν	every, all	8	ADJ
τάλας, τάλαινα, τάλαν	wretched, miserable, suffering	8	ADJ
