ἀδικἐω, ἀδικήσω, ἡδίκξσα	do wrong; injure	13	VERB
δοκέω, δόξα, ἔδοξα	think; seem, seem good/best	13	VERB
εὐρίσκω, εὐρήσω, ηὖρον/εὖρον	find, discover	13	VERB
ζξτέω, ζητήσω, ἐζἠτησα	seek, look for; investigate	13	VERB
ἥδομαι, ἥδησομαι	enjoy, be glad, delight in (+ dat.)	13	VERB
τυγχἀνω, τεύξ, ἔτυχον	happen to (+ part.); meet, happen upon (+ gen.)	13	VERB
χαίρω, χαιρπησω, ἐχαἰρησα	enjoy, rejoice (at); be glad	13	VERB
ἀνάγκη, ἀνάγκης, ἡ	necessity	13	NOUN
νόμος, νόμου, ὁ	law, custom, tradition	13	NOUN
σώμα, σώματος, τό	body	13	NOUN
τέλος, τέλους, τό	end; aim	13	NOUN
υἱός, υἱοῦ, ὁ	son	13	NOUN
ψυχή, ψυχῆς, ἡ	soul	13	NOUN
εὐθύς	immediately	13	ADV
ποῦ	where	13	ADV
ἄδικος, ἄδικον	unjust	13	ADJ
ἀθάνατος, ἀθάνατον	immortal	13	ADJ
σὠφρων, σὠφρον	prudent, sensible; self-controlled	13	ADJ
