ἀκούω, ἀκούσω, ἤκουσα	listen	10	VERB
ἀποθνήσκω, ἀποθανοῦμαι, ἀπέθανον	die	10	VERB
δράω, δράσω, ἔδρασα	do, act	10	VERB
θνήσκω, θανοῦμαι, ἔθανον	die	10	VERB
ὁράω, ὄψομαι, εἶδον	see	10	VERB
ποιέω, ποιήσω, ἐποίησα	make, do	10	VERB
τιμάω, τιμήσω, ἐτίμησα	honor	10	VERB
φιλέω, φιλήσω, ἐφίλησα	love	10	VERB
κατά	down from, down upon	10	PREP
ἄν	marks irrealis	10	PART
γῆ, γῆς, ἡ	earth	10	NOUN
εἰρήνη, εἰρήνης, ἡ	peace	10	NOUN
ἐλπίς, ἐλπίδος, ἡ	hope	10	NOUN
Ξενοφῶν, Ξενοφῶντος, ὁ	Xenophon	10	NOUN
σύμμαχος, συμμάχου, ὁ/ἡ	ally	10	NOUN
εἰ		10	CONJ
ἐπεἰ῎ἐειδἠ	if	10	CONJ
ὄτε	when, since, after	10	CONJ
ὄτι	when	10	CONJ
