τί	what?	6	PRO
τίς	who?	6	PRO
ἀδελφός, ἀδελφοῦ, ὁ	brother	6	NOUN
βάρβαρος, βαρβάρου, ὁ/ἡ	foreigner	6	NOUN
βίος, βίου, ὁ	life	6	NOUN
θάνατος, θανάτου, ὁ	death	6	NOUN
ὅπλον, ὅπλου, τό	weapon	6	NOUN
στρατηγός, στρατηγοῦ, ὁ	general	6	NOUN
γἀρ	for, because	6	CONJ
καί γάρ	for in fact	6	CONJ
μέν	(contrast)	6	CONJ
οὐδέ	and not, but not, not even	6	CONJ
οὐδέ ... οὐδέ	neither ... nor	6	CONJ
τε	and	6	CONJ
τε ... καί	both ... and	6	CONJ
τε ... τε	both ... and	6	CONJ
ἀγαθός, ἀγαθή, ἀγαθόν	good	6	ADJ
Ἀθηναῖος, Ἀθηναίa, Ἀθηναίου	Athenian	6	ADJ
δίκαιος, δικαία, δίκαιον	just, righteous	6	ADJ
κακός, κακή, κακόν	bad, evil	6	ADJ
καλός, καλή, καλόν	beautiful, good	6	ADJ
μακρός, μακρά, μακρόν	long	6	ADJ
μικρός, μικρά, μικρόν	small, little	6	ADJ
σοφός, σοφή, σοφόν	wise	6	ADJ
